Site,CO2,CH4
Arroyo,486.0713881,87.60810087
CEN,373.6131355,4.634059085
Esperanza,261.99639,2.142335542
Loiza,197.060884,5.239243716
Manantial,489.9868947,0.220084944
Palmas,436.5205835,27.56418039
Tortuguero,439.5761995,2.368992462
,383.5464964,18.539571
