"Wetland","Date","GPP.2.5","GPP.50","GPP.97.5","ER.2.5","ER.50","ER.97.5","NEPcalc","Kcor","k600.mh","meanTemp","minTemp","maxTemp","sdTemp","zmix","bp","sig.50","rundtime","accept","nbatch","ncut","ntot","scale"
"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
"TO","2024-07-20 20:36:00","-0.403276289633397","-0.3768167105695","-0.350190118413825","0.434335611573976","0.485394086195502","0.535623959463608","0.108577375626002","0.00581938331155131","0.01","34.2003714285714","29.395","36.459","2.16063185317836","0.267","760.96040086","-2.35521641196806","2025-06-22 18:32:11.638238","0.0597321428571429","56000","1000","55000","0.05"
"TO","2024-07-21 08:16:00","-3.06664224645064","-2.77114100409779","-2.48405330037898","0.0628185966773102","0.291491341296642","0.531013389288164","-2.47964966280115","0.00735684226128385","0.01","29.4819861111111","27.788","33.836","1.52969666532866","0.267","760.96040086","0.0530075361729382","2025-06-22 18:33:38.489541","0.454553571428571","56000","1000","55000","0.05"
"TO","2024-07-22 08:16:00","1.37796911170915","1.51551822070122","1.65399153273589","-2.1192515008743","-2.00754069890743","-1.89647831111079","-0.492022478206208","0.00793638312775933","0.01","26.9904166666667","26.363","27.737","0.336636894296211","0.267","760.96040086","-0.711480306292769","2025-06-22 18:35:07.735216","0.259107142857143","56000","1000","55000","0.05"
"TO","2024-07-23 08:16:00","0.706496650582847","0.775516167813598","0.842459330331984","-2.20621319852162","-2.15127779321327","-2.09539151067618","-1.37576162539967","0.00804087350112339","0.01","26.4888680555556","25.898","27.006","0.398389893125371","0.267","760.96040086","-1.41071728184042","2025-06-22 18:36:35.326536","0.123071428571429","56000","1000","55000","0.05"
"TO","2024-07-24 08:16:00","0.483592616210939","0.530957377737642","0.574209243169023","-2.00099432364533","-1.96504195592327","-1.92776347427179","-1.43408457818563","0.00796307932759234","0.01","26.8594861111111","26.067","27.669","0.587570474703088","0.267","760.96040086","-1.84236271574079","2025-06-22 18:37:57.623222","0.06775","56000","1000","55000","0.05"
"TO","2024-07-25 08:16:00","0.292541374989688","0.319254839248698","0.345468533276403","-1.66083719359215","-1.64005210087654","-1.61844131670877","-1.32079726162785","0.00784788361545991","0.01","27.4035555555556","26.617","28.222","0.590560463650981","0.267","760.96040086","-2.34865057276087","2025-06-22 18:38:53.441557","0.0319821428571429","56000","1000","55000","0.05"
"TO","2024-07-26 08:16:00","0.156752817837861","0.197675316442765","0.235535766038033","-1.52800565068281","-1.49761832537684","-1.46435338621086","-1.29994300893408","0.00771834185254445","0.01","28.0035694444444","27.295","28.795","0.509049088168051","0.267","760.96040086","-1.96884970612268","2025-06-22 18:40:19.035132","0.0563928571428571","56000","1000","55000","0.05"
"TO","2024-07-27 08:16:00","0.122109856724995","0.150292130688178","0.175306326761548","-1.50165290154155","-1.48100076088334","-1.45778899279938","-1.33070863019516","0.00767988196116361","0.01","28.1798125","27.507","28.906","0.433122359829086","0.267","760.96040086","-2.33390788132258","2025-06-22 18:41:33.857379","0.0315357142857143","56000","1000","55000","0.05"
"TO","2024-07-28 08:16:00","-0.148646214064333","-0.0790892854626334","-0.0110104545105652","-1.2921221691341","-1.23751936394779","-1.1807648848688","-1.31660864941042","0.00778515196907128","0.01","27.7001388888889","27.142","28.291","0.350934608518595","0.267","760.96040086","-1.37660152129248","2025-06-22 18:42:12.345537","0.121285714285714","56000","1000","55000","0.05"
