Site,CO2,CH4
Manantial,490 ± 6.2 (485.6-494.4),0.2 ± 0 (0.2-0.2)
Palmas,436.5 ± 141 (336.8-536.3),27.6 ± 14.4 (17.4-37.8)
Tortuguero,439.6 ± 82.9 (381-498.2),2.4 ± 2.5 (0.6-4.2)
