Sample,Site,SpC_us_cm,Cond,Temp_C
TO-T1,Tortuguero,978,,
TO-T2,Tortuguero,2124,,
TO-T3,Tortuguero,3217,,
PA-T1,Palmas,460,,
PA-T2,Palmas,1644,,
PA-T3,Palmas,2791,,
