Site,Cl- (mg/L)_mean,SO4 (mg/L)_mean,NO3 (ug N L-1)_mean,NH4 (ug N L-1)_mean,TDN (mg L-1)_mean,DOC (mg L-1)_mean,SRP (ug L-1)_mean,pH_mean,Diss. CH4 (ug L-1)_mean,Diss. N2O (ug L-1)_mean
1,555.11,48.81,58.58,116.03,1.32,31.24,4.49,5.67,108.5,0.28
2,276.53,18.43,12.34,114.62,1.42,37.29,4.36,5.07,50.86,0.73
3,171.95,8.71,56.38,99.1,1.34,36.82,6.92,4.37,334.74,0.28
4,38.14,1.3,117.49,27.65,1.16,33.93,4.67,4.43,596.57,1.04
5,31.16,1.54,140.48,37.52,1.57,40,7.33,4.59,344.67,1.74
6,34.58,22.63,261.97,220.03,1.3,24.86,7.92,5.92,44.31,12.94
