site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
TO,T1,TO-T1,0,a,TO-T1-0a,5184.9483,25.6768,24.3288,4578.6170,25.0000,1.0300,21.2880,4123.5900,1.0167,,,,
TO,T1,TO-T1,0,b,TO-T1-0b,5521.8739,16.1794,14.8314,4915.5427,25.0000,1.0300,,,,,,,
TO,T1,TO-T1,0,c,TO-T1-0c,3482.9414,26.0519,24.7039,2876.6101,25.0000,0.9900,,,,,,,
TO,T2,TO-T2,0,a,TO-T2-0a,5514.4082,438.3974,437.0494,4908.0770,25.0000,1.0000,612.9840,5343.6673,0.9633,,,,
TO,T2,TO-T2,0,b,TO-T2-0b,5850.6049,648.5583,647.2103,5244.2737,25.0000,0.9400,,,,,,,
TO,T2,TO-T2,0,c,TO-T2-0c,6484.9823,756.0404,754.6924,5878.6511,25.0000,0.9500,,,,,,,
TO,T3,TO-T3,0,a,TO-T3-0a,3868.7890,31.6747,30.3267,3262.4578,25.0000,1.0500,23.3888,3387.5207,1.0467,,,,
TO,T3,TO-T3,0,b,TO-T3-0b,4057.7005,16.9176,15.5696,3451.3693,25.0000,1.0300,,,,,,,
TO,T3,TO-T3,0,c,TO-T3-0c,4055.0662,25.6180,24.2700,3448.7350,25.0000,1.0600,,,,,,,
TO,T1,TO-T1,1,a,TO-T1-1a,6656.9657,485.6708,484.1574,5682.0253,25.0000,1.1100,391.1308,5252.5913,1.0467,19.2862,64.9348,17.3750,58.4998
TO,T1,TO-T1,1,b,TO-T1-1b,6664.8084,282.1000,280.5866,5689.8681,25.0000,1.0200,,,,10.8041,65.2616,10.5923,63.9819
TO,T1,TO-T1,1,c,TO-T1-1c,5360.8210,410.1619,408.6485,4385.8806,25.0000,1.0100,,,,16.1400,10.9288,15.9802,10.8206
TO,T2,TO-T2,1,a,TO-T2-1a,4345.1248,25.1320,23.6186,3370.1844,25.0000,1.0000,37.8195,3066.9429,1.0000,-24.5569,-82.2285,-24.5569,-82.2285
TO,T2,TO-T2,1,b,TO-T2-1b,4176.0213,74.3383,72.8249,3201.0809,25.0000,0.9800,,,,-22.5066,-89.2744,-22.9659,-91.0964
TO,T2,TO-T2,1,c,TO-T2-1c,3604.5037,18.5283,17.0149,2629.5633,25.0000,1.0200,,,,-24.8320,-113.0877,-24.3451,-110.8703
TO,T3,TO-T3,1,a,TO-T3-1a,4681.4635,250.9838,249.4704,3706.5232,25.0000,1.0100,271.1081,5345.0497,1.0033,9.4201,13.2918,9.3268,13.1602
TO,T3,TO-T3,1,b,TO-T3-1b,7593.9917,263.0073,261.4939,6619.0513,25.0000,1.0000,,,,9.9210,134.6471,9.9210,134.6471
TO,T3,TO-T3,1,c,TO-T3-1c,6684.5151,303.8734,302.3600,5709.5747,25.0000,1.0000,,,,11.6238,96.7523,11.6238,96.7523
TO,T1,TO-T1,3,a,TO-T1-3a,9004.9837,2485.5080,2483.3450,8249.8280,25.0000,0.9900,2244.6373,7372.7496,1.0300,34.1952,57.3089,34.5406,57.8877
TO,T1,TO-T1,3,b,TO-T1-3b,6694.3680,1880.5545,1878.3914,5939.2123,25.0000,1.0400,,,,25.7931,25.2170,24.8011,24.2471
TO,T1,TO-T1,3,c,TO-T1-3c,8684.3641,2374.3385,2372.1754,7929.2084,25.0000,1.0600,,,,32.6512,52.8558,30.8030,49.8640
TO,T2,TO-T2,3,a,TO-T2-3a,8822.2595,1997.0257,1994.8627,8067.1038,25.0000,0.9500,1896.5090,7911.1466,0.9933,19.1928,37.8255,20.2029,39.8163
TO,T2,TO-T2,3,b,TO-T2-3b,8428.2074,1925.1038,1922.9408,7673.0517,25.0000,1.0200,,,,18.1938,32.3526,17.8371,31.7182
TO,T2,TO-T2,3,c,TO-T2-3c,8748.4401,1773.8867,1771.7236,7993.2844,25.0000,1.0100,,,,16.0936,36.8002,15.9343,36.4359
TO,T3,TO-T3,3,a,TO-T3-3a,8577.0061,1450.5174,1448.3544,7821.8504,25.0000,0.9800,1246.3413,7419.9057,1.0100,19.7912,61.5879,20.1951,62.8448
TO,T3,TO-T3,3,b,TO-T3-3b,8068.9378,1167.2494,1165.0863,7313.7821,25.0000,1.0200,,,,15.8569,54.5314,15.5460,53.4622
TO,T3,TO-T3,3,c,TO-T3-3c,7879.2404,1127.7464,1125.5833,7124.0847,25.0000,1.0300,,,,15.3083,51.8967,14.8624,50.3852
TO,T1,TO-T1,7,a,TO-T1-7a,10025.7108,7514.7723,7512.5412,8723.2575,25.0000,1.0200,6910.1262,8040.3573,1.0267,44.5908,27.3790,43.7165,26.8421
TO,T1,TO-T1,7,b,TO-T1-7b,8701.0825,6116.0444,6113.8134,7398.6292,25.0000,1.0700,,,,36.2650,19.4943,33.8926,18.2190
TO,T1,TO-T1,7,c,TO-T1-7c,9301.6387,7106.2549,7104.0239,7999.1854,25.0000,0.9900,,,,42.1591,23.0690,42.5850,23.3020
TO,T2,TO-T2,7,a,TO-T2-7a,9050.4883,4038.2053,4035.9743,7748.0350,25.0000,1.0200,4005.6674,7928.4959,1.0000,20.3749,14.3117,19.9754,14.0311
TO,T2,TO-T2,7,b,TO-T2-7b,8507.8150,3595.7957,3593.5646,7205.3616,25.0000,0.9900,,,,17.7416,11.0815,17.9208,11.1934
TO,T2,TO-T2,7,c,TO-T2-7c,10134.5445,4389.6943,4387.4632,8832.0912,25.0000,0.9900,,,,22.4671,20.7644,22.6941,20.9742
TO,T3,TO-T3,7,a,TO-T3-7a,8746.1948,2255.6795,2253.4484,7443.7415,25.0000,1.0300,2246.5602,8227.5077,1.0067,13.2742,24.1442,12.8875,23.4409
TO,T3,TO-T3,7,b,TO-T3-7b,10664.8615,2950.2533,2948.0223,9362.4082,25.0000,0.9800,,,,17.4085,35.5648,17.7638,36.2906
TO,T3,TO-T3,7,c,TO-T3-7c,9178.8269,1540.4410,1538.2100,7876.3736,25.0000,1.0100,,,,9.0168,26.7194,8.9275,26.4548
