site,period,term,estimate,std.error,statistic,p.value
PA,summer,spc_us_cm,4.5927036930470474e-6,1.078797501285451e-6,4.257243539751037,0.003759356256782488
PA,winter,spc_us_cm,-8.560148443467882e-6,2.4967560829947086e-6,-3.4285080956728855,0.013996777272540862
TO,summer,spc_us_cm,4.45996195112287e-6,2.126807218215004e-6,2.0970221997205964,0.0808097245319181
TO,winter,spc_us_cm,3.2131073596704536e-6,1.929302486741358e-6,1.6654243602295227,0.1267986402401559
