"site","period","timepoint","estimate","std_error","p_value","f_statistic","r_squared"
"Palmas","Summer",1,-8.3552598873098e-05,4.80758237208234e-05,0.125787184490725,3.02041388348252,0.301426060700079
"Palmas","Summer",3,-1.87568868444441e-05,3.17072294314889e-05,0.572742397764184,0.349949136754794,0.0476124569359001
"Palmas","Summer",7,-7.52889018942679e-05,1.93961258785462e-05,0.00604013775847289,15.067178656104,0.682786816154056
"Palmas","Winter",1,-0.000553930589688568,0.000457714713692435,0.257022995411012,1.4646064780537,0.139958103644438
"Palmas","Winter",3,-0.000799831265514798,0.000334482898211744,0.0622915009040192,5.71806276712805,0.533497786994228
"Tortuguero","Summer",1,-0.00104607391229854,0.000627923661884037,0.139669609476099,2.77530709190029,0.283909964751887
"Tortuguero","Summer",3,-0.00418810595931246,0.000806612935465904,0.00126378366417903,26.9590731314652,0.793869521323476
"Tortuguero","Summer",7,-0.00920234858946164,0.00108053454205811,6.10032438303791e-05,72.5303964806858,0.911983338323983
"Tortuguero","Winter",1,-0.000559249490428611,0.000100021169036123,0.000338013256072512,31.2627618028154,0.776468389225832
"Tortuguero","Winter",3,-0.00490177313959803,0.00237664030957943,0.0661118996879054,4.25382380923193,0.298433870529311
