site,period,term,estimate,std.error,statistic,p.value
PA,summer,spc_us_cm,-5.601923945568914e-6,8.905286724636218e-6,-0.6290559887388414,0.549282157790308
PA,winter,spc_us_cm,4.5044862751654e-6,1.1254292190555542e-5,0.40024607491046904,0.7028364542823604
TO,summer,spc_us_cm,2.4951237949419122e-5,1.3101791234593499e-5,1.9044142516588702,0.10552200710119368
TO,winter,spc_us_cm,-3.50661036001604e-6,9.995810261031655e-6,-0.3508080154028581,0.7330102588572794
