site,period,label,
PA,summer,168.56 ± 10.58 a,
PA,winter,90.17 ± NA a,
TO,summer,206.88 ± 43.56 a,
TO,winter,95.59 ± 43.45 a,
,,,
,,,
168.56 ± 10.58 a,90.17 ± NA a,206.88 ± 43.56 a,95.59 ± 43.45 a
