Site,CO2,CH4
Arroyo,486.1 ± NA (486.1-486.1),87.6 ± NA (87.6-87.6)
CEN,373.6 ± NA (373.6-373.6),4.6 ± NA (4.6-4.6)
Esperanza,262 ± 153.9 (153.2-370.8),2.1 ± 2.7 (0.3-4)
Loiza,197.1 ± 72.4 (145.9-248.2),5.2 ± 4 (2.4-8.1)
Manantial,490 ± 6.2 (485.6-494.4),0.2 ± 0 (0.2-0.2)
Palmas,436.5 ± 141 (336.8-536.3),27.6 ± 14.4 (17.4-37.8)
Tortuguero,439.6 ± 82.9 (381-498.2),2.4 ± 2.5 (0.6-4.2)
